Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),Date
15,52,48,0.25,133,185,15-12-2020 17:33
15,52,49,0.25,133,185,15-12-2020 17:32
15,52,48,0.25,134,187,15-12-2020 17:32
15,52,49,0.25,134,187,15-12-2020 17:32
15,52,49,0.25,135,188,15-12-2020 17:31
15,52,49,0.25,135,188,15-12-2020 17:31
15,52,49,0.25,135,188,15-12-2020 17:31
15,52,49,0.25,136,189,15-12-2020 17:30
15,52,49,0.25,136,189,15-12-2020 17:30
15,52,48,0.25,137,190,15-12-2020 17:30
15,52,49,0.25,137,190,15-12-2020 17:29
15,52,49,0.25,138,191,15-12-2020 17:29
15,52,49,0.25,138,191,15-12-2020 17:29
15,52,49,0.25,138,192,15-12-2020 17:28
15,52,49,0.25,138,192,15-12-2020 17:28
15,52,49,0.25,138,192,15-12-2020 17:28
15,52,49,0.25,138,192,15-12-2020 17:27
15,52,49,0.25,138,192,15-12-2020 17:27
15,52,49,0.25,138,192,15-12-2020 17:27
15,52,49,0.25,138,192,15-12-2020 17:26
15,52,49,0.25,138,192,15-12-2020 17:26
15,52,49,0.25,138,192,15-12-2020 17:25
15,52,49,0.25,138,192,15-12-2020 17:25
15,52,49,0.25,139,193,15-12-2020 17:25
15,52,49,0.25,140,195,15-12-2020 17:24
15,52,49,0.25,140,195,15-12-2020 17:24
15,52,49,0.25,141,196,15-12-2020 17:24
15,52,49,0.25,141,196,15-12-2020 17:23
14,52,49,0.25,141,196,15-12-2020 17:23
14,52,49,0.25,142,198,15-12-2020 17:22
14,52,49,0.25,142,198,15-12-2020 17:22
14,52,49,0.25,143,199,15-12-2020 17:21
14,52,49,0.25,143,199,15-12-2020 17:21
14,52,49,0.25,144,200,15-12-2020 17:21
15,52,48,0.25,144,200,15-12-2020 17:20
15,52,49,0.25,144,200,15-12-2020 17:20
15,52,49,0.25,144,200,15-12-2020 17:19
15,52,49,0.25,145,201,15-12-2020 17:19
15,52,49,0.25,145,201,15-12-2020 17:19
15,52,49,0.25,146,202,15-12-2020 17:18
15,52,49,0.25,147,204,15-12-2020 17:18
15,52,49,0.25,147,205,15-12-2020 17:18
15,52,49,0.25,148,206,15-12-2020 17:17
15,52,49,0.25,148,206,15-12-2020 17:17
15,52,49,0.25,149,207,15-12-2020 17:17
15,52,49,0.25,150,208,15-12-2020 17:16
16,52,49,0.25,151,209,15-12-2020 17:16
16,52,49,0.25,151,209,15-12-2020 17:16
16,52,49,0.25,151,209,15-12-2020 17:15
16,52,49,0.25,151,209,15-12-2020 17:15
16,52,49,0.25,151,210,15-12-2020 17:15
16,52,49,0.25,152,212,15-12-2020 17:14
16,52,49,0.25,152,212,15-12-2020 17:14
16,52,49,0.25,152,212,15-12-2020 17:14
16,52,49,0.25,152,212,15-12-2020 17:13
16,52,49,0.25,152,212,15-12-2020 17:13
16,52,49,0.25,151,210,15-12-2020 17:13
16,52,49,0.25,151,210,15-12-2020 17:12
16,52,49,0.25,151,210,15-12-2020 17:12
16,52,49,0.25,151,210,15-12-2020 17:12
16,52,49,0.25,151,210,15-12-2020 17:11
15,52,49,0.25,151,210,15-12-2020 17:11
15,52,49,0.25,152,212,15-12-2020 17:10
15,52,49,0.25,153,213,15-12-2020 17:09
15,52,49,0.25,153,213,15-12-2020 17:09
15,52,49,0.25,154,214,15-12-2020 17:09
15,52,49,0.25,155,215,15-12-2020 17:08
15,52,49,0.25,155,215,15-12-2020 17:08
15,52,49,0.25,155,215,15-12-2020 17:08
15,52,49,0.25,155,215,15-12-2020 17:07
15,52,48,0.25,155,215,15-12-2020 17:07
15,52,49,0.25,155,215,15-12-2020 17:07
15,52,48,0.25,154,214,15-12-2020 17:06
15,52,49,0.25,154,214,15-12-2020 17:06
15,52,49,0.25,154,214,15-12-2020 17:06
15,52,49,0.25,153,213,15-12-2020 17:05
15,52,49,0.25,153,213,15-12-2020 17:05
15,52,49,0.25,153,213,15-12-2020 17:05
15,52,48,0.25,152,212,15-12-2020 17:04
15,52,49,0.24,151,210,15-12-2020 17:04
15,52,49,0.25,151,210,15-12-2020 17:04
15,52,49,0.25,151,210,15-12-2020 17:03
15,52,48,0.24,151,209,15-12-2020 17:03
15,52,49,0.24,151,209,15-12-2020 17:03
15,52,49,0.24,0,0,15-12-2020 17:02
15,52,49,0.24,0,0,15-12-2020 17:02
15,52,49,0.24,0,0,15-12-2020 17:02
15,52,48,0.24,0,0,15-12-2020 17:01
15,52,49,0.24,0,0,15-12-2020 17:01
15,52,49,0.22,301,418,15-12-2020 16:59
15,52,49,0.22,301,418,15-12-2020 16:59
15,52,49,0.22,301,418,15-12-2020 16:59
15,52,49,0.22,301,418,15-12-2020 16:58
15,52,49,0.22,301,418,15-12-2020 16:58
16,52,49,0.22,301,418,15-12-2020 16:58
16,52,49,0.22,301,418,15-12-2020 16:57
16,52,49,0.22,302,419,15-12-2020 16:57
16,52,49,0.22,302,419,15-12-2020 16:57
16,52,49,0.22,302,419,15-12-2020 16:56
16,52,49,0.22,303,421,15-12-2020 16:56
16,52,49,0.22,305,424,15-12-2020 16:55
16,52,49,0.22,306,425,15-12-2020 16:55
16,52,49,0.22,306,425,15-12-2020 16:55
16,52,49,0.22,306,425,15-12-2020 16:54
16,52,49,0.22,307,426,15-12-2020 16:54
16,52,49,0.22,308,427,15-12-2020 16:54
16,52,49,0.22,309,429,15-12-2020 16:53
16,52,49,0.22,310,430,15-12-2020 16:53
16,52,49,0.22,311,432,15-12-2020 16:53
16,52,49,0.22,312,433,15-12-2020 16:52
16,52,49,0.22,312,434,15-12-2020 16:52
16,52,49,0.22,313,435,15-12-2020 16:52
16,52,49,0.22,315,437,15-12-2020 16:51
16,52,49,0.22,316,438,15-12-2020 16:51
15,52,49,0.22,316,439,15-12-2020 16:51
15,52,49,0.22,317,441,15-12-2020 16:50
15,52,49,0.22,318,442,15-12-2020 16:50
16,52,49,0.22,318,442,15-12-2020 16:50
16,52,49,0.22,319,443,15-12-2020 16:49
16,52,49,0.22,320,444,15-12-2020 16:49
16,52,49,0.22,320,444,15-12-2020 16:49
16,52,49,0.22,320,444,15-12-2020 16:48
16,52,49,0.22,320,444,15-12-2020 16:48
16,52,49,0.22,320,444,15-12-2020 16:48
16,52,49,0.22,0,0,15-12-2020 16:47
16,52,49,0.22,0,0,15-12-2020 16:47
16,52,49,0.22,0,0,15-12-2020 16:47
16,52,49,0.22,0,0,15-12-2020 16:46
16,52,49,0.22,0,0,15-12-2020 16:46
15,54,50,0.15,1000,1000,15-12-2020 16:42
15,54,50,0.15,1000,1000,15-12-2020 16:40
15,54,50,0.15,1000,1000,15-12-2020 16:40
15,54,50,0.15,1000,1000,15-12-2020 16:40
15,54,50,0.15,1000,1000,15-12-2020 16:39
15,54,50,0.15,1000,1000,15-12-2020 16:39
15,54,50,0.15,1000,1000,15-12-2020 16:39
15,54,50,0.15,1000,1000,15-12-2020 16:38
15,54,50,0.15,1000,1000,15-12-2020 16:38
15,54,50,0.15,1000,1000,15-12-2020 16:38
15,54,50,0.15,1000,1000,15-12-2020 16:37
15,54,50,0.15,1000,1000,15-12-2020 16:37
15,54,50,0.15,1000,1000,15-12-2020 16:37
15,54,50,0.15,1000,1000,15-12-2020 16:36
15,54,50,0.15,1000,1000,15-12-2020 16:36
15,54,50,0.15,1000,1000,15-12-2020 16:36
15,54,50,0.15,1000,1000,15-12-2020 16:35
15,54,50,0.15,1000,1000,15-12-2020 16:35
