TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:38.67,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:39.86,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:41.06,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:42.24,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:43.44,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:44.63,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:45.82,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:47.02,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:48.21,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:49.40,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:50.60,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:51.79,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:52.98,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:54.18,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:55.37,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:56.57,python3,rf_t.py
T60.8C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:57.76,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,3:58.96,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:00.15,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:01.34,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:02.53,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:03.72,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:04.91,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,4:06.11,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:07.30,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:08.49,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:09.68,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:10.89,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:12.08,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:13.27,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:14.46,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:15.65,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:16.85,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:18.04,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:19.23,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:20.42,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:21.62,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:22.81,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:24.00,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:25.20,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:26.39,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:27.58,python3,rf_t.py
T60.8C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,4:28.78,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:29.97,python3,rf_t.py
T60.8C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:31.16,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:32.35,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:33.54,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:34.74,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:35.93,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:37.12,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:38.32,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:39.51,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:40.70,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,4:41.90,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:43.09,python3,rf_t.py
T60.8C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:44.28,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:45.47,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:46.66,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:47.86,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:49.05,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:50.24,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:51.44,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:52.63,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,4:53.82,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:55.01,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:56.20,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:57.40,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:58.59,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,4:59.78,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:00.98,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,5:02.17,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:03.36,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:04.55,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,5:05.75,python3,rf_t.py
