Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
29400.00,-0.007,0,0,357.825,1739.7452,4.862
29600.00,0.008,0,0,411.26,1984.7408,4.826
29800.00,-0.008,0,0,413.395,1995.0443,4.826
30000.00,-0.011,0,0,449.281,2156.5488,4.8
30200.00,0.011,0,0,576.51,2707.291,4.696
30400.00,0.002,0,0,359.079,1746.5603,4.864
30600.00,-0.017,0,0,417.87,2017.4763,4.828
30800.00,-0.016,0,0,359.528,1747.3062,4.86
31000.00,-0.001,0,0,412.111,1989.6719,4.828
31200.00,0.002,0,0,415.357,2003.6821,4.824
31400.00,-0.002,0,0,357.591,1740.0378,4.866
31600.00,-0.005,0,0,410.396,1983.0333,4.832
31800.00,-0.012,0,0,411.371,1986.0992,4.828
32000.00,-0.007,0,0,357.628,1739.5024,4.864
32200.00,0.011,0,0,410.285,1981.6765,4.83
32400.00,0,0,0,411.704,1988.5304,4.83
32600.00,-0.014,0,0,357.794,1739.5945,4.862
32800.00,0,0,0,410.302,1980.9381,4.828
33000.00,-0.023,0,0,413.629,1996.1736,4.826
33200.00,-0.007,0,0,357.603,1740.8114,4.868
33400.00,-0.008,0,0,417.031,2010.0895,4.82
33600.00,0.009,0,0,399.401,1931.5032,4.836
33800.00,-0.003,0,0,422.889,2039.1708,4.822
34000.00,-0.004,0,0,404.613,1954.2808,4.83
34200.00,-0.01,0,0,357.276,1737.0759,4.862
34400.00,0.039,0,0,409.845,1979.5513,4.83
34600.00,-0.002,0,0,409.031,1976.4377,4.832
34800.00,0.012,0,0,357.448,1738.627,4.864
35000.00,0.005,0,0,409.628,1977.684,4.828
35200.00,-0.022,0,0,357.479,1740.2078,4.868
35400.00,-0.006,0,0,412.441,1992.0901,4.83
35600.00,0.003,0,0,406.057,1961.2554,4.83
35800.00,0.003,0,0,358.929,1745.8306,4.864
36000.00,-0.008,0,0,411.47,1986.5771,4.828
36200.00,-0.002,0,0,416.344,2007.6107,4.822
36400.00,-0.007,0,0,357.973,1741.8966,4.866
36600.00,-0.001,0,0,436.566,2099.8826,4.81
36800.00,-0.003,0,0,413.403,1996.7366,4.83
37000.00,-0.005,0,0,357.913,1740.8888,4.864
37200.00,0,0,0,412.769,1992.0233,4.826
37400.00,-0.001,0,0,411.493,1987.5112,4.83
37600.00,0.008,0,0,357.865,1742.0868,4.868
37800.00,0.017,0,0,409.576,1977.4329,4.828
38000.00,-0.009,0,0,357.606,1739.3955,4.864
38200.00,0,0,0,411.913,1987.8922,4.826
38400.00,-0.002,0,0,407.568,1968.5533,4.83
38600.00,-0.012,0,0,357.907,1740.8596,4.864
38800.00,0.001,0,0,407.848,1969.9058,4.83
39000.00,0.016,0,0,413.957,1996.9285,4.824
39200.00,-0.016,0,0,357.537,1739.0598,4.864
39400.00,0.002,0,0,417.491,2015.6466,4.828
39600.00,-0.007,0,0,409.97,1979.3352,4.828
39800.00,-0.007,0,0,357.68,1741.1862,4.868
40000.00,0.016,0,0,419.272,2023.4067,4.826
40200.00,-0.014,0,0,449.694,2158.5312,4.8
40400.00,-0.001,0,0,602.558,2835.6377,4.706
40600.00,0,0,0,359.222,1746.5372,4.862
40800.00,-0.014,0,0,410.859,1982.8057,4.826
41000.00,-0.003,0,0,407.552,1969.2911,4.832
41200.00,-0.014,0,0,359.111,1747.4342,4.866
41400.00,0,0,0,409.07,1974.99,4.828
41600.00,0.024,0,0,358.753,1745.6921,4.866
41800.00,0.015,0,0,455.634,2184.3096,4.794
42000.00,0,0,0,407.092,1964.6261,4.826
42200.00,0.017,0,0,359.196,1747.8479,4.866
42400.00,-0.006,0,0,412.88,1992.559,4.826
42600.00,-0.009,0,0,416.702,2011.0039,4.826
42800.00,-0.02,0,0,357.813,1741.118,4.866
