Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
30400.00,0.005,0,0,364.995,1776.0657,4.866
30600.00,-0.003,0,0,311.591,1525.5496,4.896
30800.00,-0.01,0,0,364.274,1770.3716,4.86
31000.00,0,0,0,311.517,1525.8102,4.898
31200.00,0.031,0,0,405.233,1958.8964,4.834
31400.00,0.007,0,0,564.651,2668.5405,4.726
31600.00,0,0,0,404.661,1955.3219,4.832
31800.00,0.009,0,0,403.427,1949.3591,4.832
32000.00,0,0,0,403.858,1953.0573,4.836
32200.00,0.006,0,0,404.887,1958.0334,4.836
32400.00,0.003,0,0,403.184,1948.1849,4.832
32600.00,-0.002,0,0,403.74,1951.6792,4.834
32800.00,0,0,0,403.925,1951.7655,4.832
33000.00,0.007,0,0,404.722,1956.4261,4.834
33200.00,0.018,0,0,403.649,1950.4318,4.832
33400.00,0.014,0,0,564.612,2666.0979,4.722
33600.00,0.01,0,0,404.244,1954.924,4.836
33800.00,-0.005,0,0,404.417,1954.1428,4.832
34000.00,-0.011,0,0,404.409,1954.1041,4.832
34200.00,0.002,0,0,403.78,1952.6801,4.836
34400.00,-0.003,0,0,403.595,1950.1709,4.832
34600.00,0.026,0,0,403.94,1951.0302,4.83
34800.00,0.003,0,0,403.459,1950.3209,4.834
35000.00,-0.009,0,0,404.187,1953.0315,4.832
35200.00,0.02,0,0,404.508,1955.3917,4.834
35400.00,-0.014,0,0,444.958,2137.5781,4.804
35600.00,-0.009,0,0,564.018,2661.0369,4.718
35800.00,-0.004,0,0,404.138,1953.6031,4.834
36000.00,0.002,0,0,404.619,1955.1189,4.832
36200.00,0,0,0,357.809,1740.3829,4.864
36400.00,-0.003,0,0,357.703,1739.8673,4.864
36600.00,-0.007,0,0,362.22,1760.3893,4.86
36800.00,0.014,0,0,425.825,2049.9216,4.814
37000.00,0.016,0,0,364.917,1772.7667,4.858
37200.00,-0.008,0,0,369.706,1797.5105,4.862
37400.00,-0.001,0,0,311.764,1527.02,4.898
37600.00,-0.02,0,0,362.925,1765.993,4.866
37800.00,0.022,0,0,362.604,1764.4312,4.866
38000.00,0.008,0,0,403.315,1948.818,4.832
38200.00,0.004,0,0,403.624,1950.311,4.832
38400.00,-0.012,0,0,404.624,1955.1431,4.832
38600.00,-0.01,0,0,404.961,1957.5815,4.834
38800.00,-0.011,0,0,449.462,2158.3167,4.802
39000.00,-0.012,0,0,404.381,1955.5865,4.836
39200.00,0,0,0,404.073,1953.2889,4.834
39400.00,-0.012,0,0,564.342,2663.6941,4.72
39600.00,0,0,0,404.426,1954.9954,4.834
39800.00,-0.014,0,0,403.871,1952.3125,4.834
40000.00,-0.009,0,0,405.088,1958.1956,4.834
40200.00,0.013,0,0,403.422,1950.142,4.834
40400.00,-0.006,0,0,404.323,1954.4974,4.834
40600.00,-0.002,0,0,404.392,1953.2134,4.83
40800.00,-0.001,0,0,403.676,1952.1771,4.836
41000.00,0.016,0,0,404.491,1954.5004,4.832
41200.00,0.024,0,0,404.108,1954.2662,4.836
41400.00,0.009,0,0,565.004,2665.689,4.718
41600.00,-0.013,0,0,404.113,1954.2905,4.836
41800.00,0.007,0,0,404.298,1954.3766,4.834
42000.00,-0.002,0,0,404.056,1953.2068,4.834
42200.00,0.014,0,0,403.57,1950.8574,4.834
42400.00,0.01,0,0,403.891,1951.6012,4.832
42600.00,0,0,0,404.784,1957.5354,4.836
42800.00,0.013,0,0,403.772,1950.2188,4.83
43000.00,0.008,0,0,359.37,1748.6945,4.866
43200.00,0.005,0,0,429.03,2067.0664,4.818
43400.00,0.026,0,0,360.659,1754.9668,4.866
43600.00,0.015,0,0,407.507,1968.2587,4.83
43800.00,0.01,0,0,364.732,1772.5975,4.86
44000.00,0.017,0,0,367.447,1785.0574,4.858
44200.00,-0.007,0,0,411.061,1987.069,4.834
44400.00,0.009,0,0,366.892,1782.3612,4.858
44600.00,-0.014,0,0,366.997,1783.6055,4.86
44800.00,-0.012,0,0,366.96,1782.6915,4.858
45000.00,-0.024,0,0,404.034,1952.2922,4.832
45200.00,-0.005,0,0,564.979,2667.8308,4.722
45400.00,0.002,0,0,403.763,1951.7904,4.834
45600.00,-0.008,0,0,404.55,1954.7854,4.832
45800.00,-0.007,0,0,403.957,1951.9202,4.832
46000.00,-0.012,0,0,405.093,1957.4092,4.832
46200.00,-0.001,0,0,406.87,1965.9957,4.832
46400.00,-0.001,0,0,404.056,1953.2068,4.834
46600.00,0.008,0,0,404.438,1954.2443,4.832
46800.00,0.007,0,0,404.426,1954.1863,4.832
47000.00,0.004,0,0,404.13,1951.9479,4.83
47200.00,-0.012,0,0,563.306,2661.0576,4.724
47400.00,0.007,0,0,439.754,2094.1086,4.762
47600.00,-0.012,0,0,406.088,1962.2172,4.832
47800.00,-0.009,0,0,403.343,1950.5667,4.836
48000.00,-0.02,0,0,404.298,1954.3766,4.834
48200.00,-0.014,0,0,404.014,1952.1956,4.832
48400.00,-0.001,0,0,403.928,1952.588,4.834
48600.00,-0.015,0,0,406.47,1963.2501,4.83
48800.00,0.007,0,0,404.249,1953.3311,4.832
49000.00,-0.004,0,0,403.841,1951.3596,4.832
49200.00,0.003,0,0,404.113,1952.674,4.832
49400.00,0.012,0,0,562.109,2653.1543,4.72
49600.00,-0.004,0,0,404.9,1956.4767,4.832
49800.00,0.004,0,0,403.678,1950.572,4.832
50000.00,0.001,0,0,357.881,1742.1648,4.868
50200.00,-0.01,0,0,312.134,1530.0808,4.902
50400.00,0.022,0,0,311.85,1527.4413,4.898
50600.00,0,0,0,426.521,2054.978,4.818
50800.00,-0.009,0,0,361.905,1758.8584,4.86
51000.00,0.015,0,0,404.199,1953.0895,4.832
51200.00,0.007,0,0,403.787,1951.9064,4.834
51400.00,-0.008,0,0,403.935,1952.6218,4.834
51600.00,-0.001,0,0,420.14,2025.9152,4.822
51800.00,0.01,0,0,444.996,2137.7607,4.804
52000.00,0.004,0,0,564.214,2664.2185,4.722
52200.00,0.007,0,0,404.38,1953.1554,4.83
52400.00,0.013,0,0,403.718,1951.5728,4.834
52600.00,0.028,0,0,403.755,1950.9441,4.832
52800.00,0.012,0,0,403.891,1951.6012,4.832
53000.00,-0.003,0,0,403.824,1951.2775,4.832
53200.00,0.011,0,0,404.145,1952.8285,4.832
53400.00,0.004,0,0,411.616,1987.2821,4.828
53600.00,0.004,0,0,404.57,1955.6914,4.834
53800.00,0.006,0,0,404.496,1955.3337,4.834
54000.00,0.011,0,0,564.043,2664.5393,4.724
54200.00,0.012,0,0,404.483,1954.4618,4.832
54400.00,-0.015,0,0,404.313,1953.6403,4.832
54600.00,-0.014,0,0,445.181,2139.54,4.806
54800.00,-0.012,0,0,403.775,1951.8484,4.834
55000.00,-0.003,0,0,404.644,1955.2397,4.832
55200.00,-0.004,0,0,410.074,1981.4775,4.832
55400.00,-0.003,0,0,409.802,1977.7046,4.826
55600.00,-0.016,0,0,407.914,1969.4088,4.828
55800.00,0.005,0,0,403.558,1949.1852,4.83
56000.00,0.008,0,0,406.248,1962.1777,4.83
56200.00,0.001,0,0,357.932,1742.413,4.868
56400.00,0.001,0,0,362.708,1762.761,4.86
56600.00,-0.004,0,0,362.116,1761.3322,4.864
56800.00,0.003,0,0,311.727,1526.8387,4.898
57000.00,0.025,0,0,364.184,1771.3909,4.864
57200.00,0.008,0,0,403.96,1951.9346,4.832
57400.00,-0.012,0,0,404.372,1954.7344,4.834
