TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:37.73,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:38.92,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:40.11,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,4:41.31,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:42.50,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,4:43.70,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:44.89,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:46.08,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:47.28,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:48.47,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:49.66,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:50.85,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:52.05,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:53.24,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:54.43,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,4:55.63,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:56.82,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:58.01,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:59.21,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:00.40,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:01.59,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:02.78,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:03.98,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:05.17,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:06.36,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:07.56,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:08.75,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:09.94,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:11.13,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:12.33,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:13.52,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:14.71,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:15.90,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:17.09,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:18.29,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:19.48,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:20.67,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:21.86,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:23.06,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:24.25,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:25.44,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:26.63,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:27.83,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:29.02,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:30.21,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:31.40,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:32.60,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:33.79,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:34.98,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:36.18,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:37.37,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:38.57,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:39.76,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:40.95,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,93.8,5.8,5:42.14,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:43.34,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:44.53,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:45.72,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:46.92,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:48.11,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,5:49.30,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:50.49,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:51.69,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:52.89,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:54.08,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:55.27,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,5:56.47,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:57.66,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,5:58.85,python3,rf.py
T58.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,6:00.04,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,6:01.24,python3,rf.py
