Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
175400.00,-0.005,0,0,405.679,1960.2407,4.832
175600.00,-0.01,0,0,459.753,2203.1362,4.792
175800.00,-0.011,0,0,405.876,1961.1927,4.832
176000.00,-0.007,0,0,405.58,1958.1403,4.828
176200.00,0.004,0,0,575.194,2702.2612,4.698
176400.00,-0.02,0,0,405.449,1959.1295,4.832
176600.00,0.002,0,0,406.448,1963.1438,4.83
176800.00,-0.001,0,0,405.782,1961.5503,4.834
177000.00,0.002,0,0,405.034,1956.3142,4.83
177200.00,0.001,0,0,405.565,1958.8789,4.83
177400.00,0,0,0,405.572,1959.7238,4.832
177600.00,0.008,0,0,405.474,1960.0614,4.834
177800.00,-0.018,0,0,405.782,1960.7386,4.832
178000.00,0.024,0,0,405.72,1961.2505,4.834
178200.00,0,0,0,568.137,2675.9253,4.71
178400.00,0.017,0,0,405.383,1957.9999,4.83
178600.00,0.004,0,0,405.383,1959.6215,4.834
178800.00,0.002,0,0,405.913,1962.9952,4.836
179000.00,0.012,0,0,405.103,1958.2679,4.834
179200.00,0.013,0,0,405.572,1959.7238,4.832
179400.00,0.001,0,0,404.98,1956.8633,4.832
179600.00,-0.004,0,0,405.597,1959.8445,4.832
179800.00,-0.021,0,0,446.454,2144.7651,4.804
180000.00,0.012,0,0,405.629,1959.9993,4.832
180200.00,0.002,0,0,406.814,1964.9116,4.83
180400.00,0,0,0,565.988,2670.3313,4.718
180600.00,-0.024,0,0,405.272,1957.4637,4.83
180800.00,0.002,0,0,358.762,1743.5834,4.86
181000.00,-0.014,0,0,313.134,1533.104,4.896
181200.00,-0.017,0,0,363.89,1769.2333,4.862
181400.00,-0.012,0,0,363.417,1765.4797,4.858
181600.00,0.002,0,0,431.49,2077.1929,4.814
181800.00,-0.013,0,0,359.073,1746.531,4.864
182000.00,-0.012,0,0,368.879,1791.2764,4.856
182200.00,0.012,0,0,312.652,1530.7443,4.896
182400.00,-0.002,0,0,429.68,2069.3389,4.816
182600.00,0,0,0,362.937,1764.5997,4.862
182800.00,-0.009,0,0,365.899,1777.5372,4.858
183000.00,0.023,0,0,313.627,1534.8906,4.894
183200.00,0.016,0,0,406.606,1963.9069,4.83
183400.00,0.028,0,0,427.191,2057.3518,4.816
183600.00,0.001,0,0,365.645,1776.3033,4.858
183800.00,-0.011,0,0,367.928,1786.6584,4.856
184000.00,0.005,0,0,314.12,1537.9315,4.896
184200.00,0.01,0,0,363.29,1766.316,4.862
184400.00,0,0,0,428.643,2061.7729,4.81
184600.00,0,0,0,365.809,1777.8318,4.86
184800.00,-0.01,0,0,368.283,1788.3822,4.856
185000.00,0.021,0,0,313.299,1534.5385,4.898
185200.00,-0.004,0,0,429.227,2067.1572,4.816
185400.00,0.024,0,0,363.032,1764.3356,4.86
