timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-17 17,26.18,36.02,24.03,25.0,26.67,1009,4.1,270,0.0,1,0,2
2019-03-17 18,24.05,42.58,24.11,24.0,25.34,1013,2.1,290,0.0,1,0,2
2019-03-17 19,21.12,53.28,22.91,22.38,24.0,1013,2.1,290,0.0,1,0,2
2019-03-17 20,19.43,61.17,22.66,20.2,22.0,1014,1.0,320,0.0,0,0,3
2019-03-17 21,19.77,63.2,22.47,19.01,22.17,1015,1.0,320,0.0,0,0,4
2019-03-17 22,21.18,57.98,19.6,17.02,21.0,1015,2.81,340,0.0,0,2,5
2019-03-17 23,19.95,62.3,18.53,16.36,20.0,1014,2.78,345,0.0,0,2,5
2019-03-18 00,16.77,77.7,17.9,16.22,19.0,1014,2.68,336,0.0,0,2,5
2019-03-18 01,15.4,85.9,17.53,14.94,19.0,1014,2.36,337,0.0,0,2,4
2019-03-18 02,14.57,90.45,16.04,14.46,17.0,1014,2.24,352,0.0,0,2,4
2019-03-18 03,13.8,94.17,15.61,12.94,17.0,1013,2.09,348,0.0,0,2,5
2019-03-18 04,13.4,96.17,15.2,12.83,16.0,1014,1.0,270,0.0,0,2,5
2019-03-18 05,12.88,97.12,14.94,13.4,15.0,1014,1.0,270,0.0,0,2,5
2019-03-18 06,12.35,98.28,13.5,14.0,14.31,1014,2.17,328,0.0,0,6,5
2019-03-18 07,12.15,98.62,14.83,13.6,18.4,1015,2.08,335,0.0,1,6,5
2019-03-18 08,14.3,92.38,17.68,16.29,18.4,1016,1.05,336,0.0,1,2,5
2019-03-18 09,19.1,68.42,18.46,13.6,21.0,1016,1.5,240,0.0,1,0,6
2019-03-18 10,22.93,54.33,22.91,22.91,25.56,1013,2.1,250,0.0,1,0,6
2019-03-18 11,25.47,43.83,25.54,24.0,26.0,1013,1.5,270,0.0,1,0,5
2019-03-18 12,26.68,39.02,26.37,25.56,26.21,1012,1.5,340,0.0,1,0,4
2019-03-18 13,27.75,33.35,26.01,26.0,28.13,1011,3.1,300,0.0,1,0,3
2019-03-18 14,29.0,32.17,27.25,27.4,28.89,1014,2.36,292,0.0,10,0,2
2019-03-18 15,29.0,32.0,25.95,26.67,28.0,1010,3.08,300,0.0,52,0,2
2019-03-18 16,28.3,33.2,25.86,25.0,28.0,1010,3.01,304,0.0,100,0,2
2019-03-18 17,26.5,36.3,26.07,25.0,27.0,1010,2.1,270,0.0,40,0,2
2019-03-18 18,24.57,44.15,24.59,24.0,25.29,1013,1.5,270,0.0,40,0,2
2019-03-18 19,21.75,58.18,24.14,23.74,24.11,1013,1.5,270,0.0,40,0,2
2019-03-18 20,19.88,65.17,22.31,21.14,23.2,1013,2.57,317,0.0,40,0,3
2019-03-18 21,18.65,67.7,20.98,20.83,23.2,1013,2.41,324,0.0,40,0,4
2019-03-18 22,17.8,73.42,20.91,17.2,21.0,1014,2.4,322,0.0,40,2,5
2019-03-18 23,16.77,80.28,18.68,17.15,19.0,1013,2.46,325,0.0,40,2,5
2019-03-19 00,16.1,82.85,18.64,16.8,19.0,1013,2.36,334,0.0,40,2,5
2019-03-19 01,15.85,83.62,16.71,15.25,18.0,1012,2.51,339,0.0,40,2,5
2019-03-19 02,14.98,88.58,16.85,15.6,18.0,1012,2.46,341,0.0,40,2,5
2019-03-19 03,14.18,91.8,16.06,14.36,17.0,1011,2.06,347,0.0,40,2,5
2019-03-19 04,13.55,94.88,14.85,14.4,16.0,1011,2.05,346,0.0,20,2,5
2019-03-19 05,13.22,96.68,15.09,15.37,16.0,1011,2.39,331,0.0,20,2,5
2019-03-19 06,13.12,97.2,15.27,15.0,15.29,1012,1.03,250,0.0,20,6,5
2019-03-19 07,12.9,97.33,16.28,15.0,19.2,1012,1.0,250,0.0,20,6,5
2019-03-19 08,15.5,86.9,19.22,16.4,19.2,1012,1.0,230,0.0,1,2,5
2019-03-19 09,19.68,70.17,21.21,16.4,23.0,1012,1.0,270,0.0,1,0,5
2019-03-19 10,23.93,53.62,24.7,24.0,26.0,1012,2.1,260,0.0,1,0,6
2019-03-19 11,26.7,44.28,27.74,26.0,27.88,1009,1.5,240,0.0,1,0,5
2019-03-19 12,29.2,35.52,28.46,26.0,29.0,1008,1.5,250,0.0,1,0,4
2019-03-19 13,30.25,31.07,30.41,29.4,30.25,1010,1.5,320,0.0,1,0,3
2019-03-19 14,31.82,28.7,30.85,30.01,31.0,1010,2.1,260,0.0,1,0,3
2019-03-19 15,32.02,26.83,30.85,28.94,31.0,1009,1.5,350,0.0,1,0,2
2019-03-19 16,31.5,27.0,30.5,27.4,31.0,1004,1.0,320,0.0,1,0,2
2019-03-19 17,29.75,30.15,30.54,27.78,30.0,1004,1.0,290,0.0,1,0,2
2019-03-19 18,28.15,32.8,29.14,27.14,29.0,1005,2.53,65,0.0,1,0,2
2019-03-19 19,26.52,36.95,27.21,23.91,28.0,1004,2.47,73,0.0,1,0,3
2019-03-19 20,22.5,50.7,25.76,21.6,26.67,1004,2.65,78,0.0,2,2,3
2019-03-19 21,22.78,50.62,24.0,21.09,24.0,1010,2.64,91,0.0,9,2,3
2019-03-19 22,22.95,52.9,21.18,19.2,21.0,1010,2.68,108,0.0,5,2,4
2019-03-19 23,19.98,66.68,21.07,19.1,21.0,1010,2.7,120,0.0,0,2,4
2019-03-20 00,19.92,65.78,21.07,18.99,21.0,1010,2.71,120,0.0,2,2,5
2019-03-20 01,19.4,68.15,21.29,18.0,22.0,1009,2.68,116,0.0,30,2,5
2019-03-20 02,19.4,68.47,20.63,18.0,21.0,1008,2.78,112,0.0,36,2,5
2019-03-20 03,18.48,71.53,19.5,17.79,20.0,1008,3.05,114,0.0,37,2,6
2019-03-20 04,18.75,68.65,17.98,18.07,19.17,1008,2.1,90,0.0,1,0,6
2019-03-20 05,17.28,75.9,18.26,17.0,20.01,1008,2.85,120,0.0,20,2,6
2019-03-20 06,17.25,75.43,20.68,18.91,20.0,1009,1.03,140,0.0,40,2,5
2019-03-20 07,18.15,71.18,20.98,19.0,21.4,1009,1.0,140,0.0,40,2,5
2019-03-20 08,20.4,60.92,22.76,20.0,24.0,1010,1.5,140,0.0,40,0,5
2019-03-20 09,23.6,48.02,24.85,20.0,28.33,1007,1.5,150,0.0,40,0,4
2019-03-20 10,27.43,34.8,27.35,26.78,29.0,1007,4.1,170,0.0,40,0,4
2019-03-20 11,29.0,29.2,28.67,27.6,31.0,1007,4.1,200,0.0,40,0,3
2019-03-20 12,30.4,27.6,30.14,27.6,31.0,1006,3.1,150,0.0,75,0,2
2019-03-20 13,31.8,27.38,32.65,28.89,34.0,1006,3.1,160,0.0,20,0,2
2019-03-20 14,33.45,20.38,33.33,29.6,34.0,1008,3.1,230,0.0,40,0,2
2019-03-20 15,33.92,19.9,33.4,28.33,34.0,1004,1.0,210,0.0,75,0,2
2019-03-20 16,33.78,23.83,28.99,25.0,32.0,1004,1.5,160,0.0,75,0,2
2019-03-20 17,30.9,35.45,29.53,25.0,32.0,1004,1.0,250,0.0,75,0,2
2019-03-20 18,29.55,38.9,28.54,24.98,29.0,1004,1.0,10,0.0,75,0,2
2019-03-20 19,27.9,46.6,28.18,23.89,29.0,1005,1.0,10,0.0,75,0,3
2019-03-20 20,26.12,53.2,27.35,23.63,28.33,1004,1.5,50,0.0,20,0,3
2019-03-20 21,25.27,56.3,26.85,23.75,28.33,1005,1.5,50,0.0,20,0,4
2019-03-20 22,22.95,68.0,24.59,21.8,25.0,1011,2.61,90,0.0,40,0,5
2019-03-20 23,22.05,76.93,24.58,21.48,25.0,1011,2.32,82,0.0,40,0,5
2019-03-21 00,21.4,80.93,23.84,21.11,24.0,1011,2.28,69,0.0,40,0,5
2019-03-21 01,22.27,73.7,22.35,19.3,23.0,1011,2.17,59,0.0,40,2,5
2019-03-21 02,21.2,74.03,22.02,18.24,23.0,1010,2.11,58,0.0,40,2,5
2019-03-21 03,20.15,75.5,20.21,17.43,21.0,1010,2.36,47,0.0,40,2,5
2019-03-21 04,19.18,79.9,19.67,17.24,20.0,1010,1.5,320,0.0,20,2,5
2019-03-21 05,19.23,76.38,21.31,18.1,22.0,1011,1.5,320,0.0,20,2,5
2019-03-21 06,19.25,70.97,19.57,17.85,19.0,1012,1.5,1,0.0,0,2,5
2019-03-21 07,16.52,85.38,19.43,18.0,20.6,1012,2.12,2,0.0,1,2,5
2019-03-21 08,18.67,74.12,21.16,19.4,22.0,1013,2.1,270,0.0,1,0,5
2019-03-21 09,23.17,55.08,23.51,19.4,27.22,1010,1.5,90,0.0,1,0,5
2019-03-21 10,25.25,44.9,26.58,24.75,27.78,1011,1.0,20,0.0,1,0,5
2019-03-21 11,27.45,37.97,26.83,27.0,30.0,1010,2.1,20,0.0,40,0,5
2019-03-21 12,28.33,35.3,27.35,27.0,31.0,1010,2.1,50,0.0,20,0,3
2019-03-21 13,30.0,30.35,28.84,29.0,32.0,1013,1.5,50,0.0,20,0,2
2019-03-21 14,31.2,26.73,29.38,29.8,31.01,1012,1.0,50,0.0,1,0,2
2019-03-21 15,31.85,29.07,29.51,28.33,31.0,1008,1.0,290,0.0,20,0,2
2019-03-21 16,30.95,32.92,28.67,28.33,30.0,1007,1.0,360,0.0,40,0,2
2019-03-21 17,29.35,35.6,28.19,27.86,29.2,1007,2.1,340,0.0,40,0,2
2019-03-21 18,27.68,41.65,27.76,27.2,28.53,1008,1.5,10,0.0,40,0,2
2019-03-21 19,26.1,46.48,27.34,24.6,28.33,1008,2.34,345,0.0,20,0,2
