timestamp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,rain,clouds_all,weather
2019-03-24 16,29.55,29.2,31.0,35,1007,3.1,340,0.0,1,0
2019-03-24 17,28.36,28.0,29.98,42,1007,3.1,320,0.0,1,0
2019-03-24 18,27.93,27.0,29.84,45,1007,2.6,320,0.0,1,0
2019-03-24 19,26.31,26.0,27.07,54,1011,2.6,320,0.0,1,0
2019-03-24 20,25.86,24.0,26.0,67,1011,2.1,320,0.0,40,0
2019-03-24 21,24.19,21.67,24.4,67,1012,2.1,320,0.0,40,0
2019-03-24 22,22.79,21.09,22.0,77,1012,2.1,320,0.0,40,2
2019-03-24 23,22.79,20.87,22.0,77,1012,2.1,320,0.0,40,2
2019-03-25 00,21.97,19.93,21.67,77,1012,2.1,320,0.0,40,2
2019-03-25 01,19.48,18.72,19.6,79,1011,2.1,270,0.0,40,2
2019-03-25 02,18.82,18.0,19.6,79,1011,2.1,270,0.0,40,2
2019-03-25 03,17.76,17.0,19.6,79,1011,2.1,270,0.0,40,2
2019-03-25 04,18.08,17.0,18.8,79,1011,1.5,270,0.0,40,2
2019-03-25 05,18.37,17.0,19.48,79,1012,1.5,270,0.0,40,2
2019-03-25 06,16.62,17.0,20.0,73,1013,4.12,270,0.0,75,2
2019-03-25 07,16.85,17.0,20.0,72,1013,4.1,270,0.0,75,2
2019-03-25 08,18.71,18.4,20.0,72,1013,2.6,270,0.0,75,0
2019-03-25 09,19.18,18.4,21.0,68,1014,3.1,270,0.0,40,0
2019-03-25 10,23.37,21.26,25.8,64,1014,3.1,320,0.0,40,0
2019-03-25 11,26.05,23.24,28.33,47,1011,2.1,320,0.0,40,0
2019-03-25 12,26.86,24.2,29.0,37,1010,2.1,270,0.0,40,0
2019-03-25 13,28.0,26.43,29.0,39,1012,2.1,270,0.0,40,0
2019-03-25 14,27.73,27.67,30.0,35,1008,3.1,270,0.0,40,0
2019-03-25 15,27.79,24.7,30.0,37,1007,3.1,280,0.0,40,0
2019-03-25 16,27.4,25.08,30.0,42,1007,3.6,290,0.0,20,0
2019-03-25 17,25.92,24.64,27.0,51,1011,3.1,360,0.0,20,0
2019-03-25 18,25.04,24.97,26.0,50,1012,2.1,360,0.0,20,0
2019-03-25 19,23.93,23.3,25.0,50,1012,2.1,360,0.0,20,0
2019-03-25 20,23.64,22.23,24.02,57,1013,1.0,360,0.0,44,0
2019-03-25 21,23.44,22.04,23.2,57,1013,1.0,360,0.0,20,0
2019-03-25 22,21.83,19.61,22.0,74,1014,1.87,350,0.0,17,0
2019-03-25 23,21.04,19.14,21.0,74,1014,1.85,357,0.0,16,0
2019-03-26 00,20.05,18.77,20.4,74,1013,2.16,346,0.0,5,0
2019-03-26 01,19.14,17.44,19.0,84,1013,1.85,315,0.0,1,2
2019-03-26 02,18.38,17.46,18.54,84,1013,1.99,300,0.0,0,2
2019-03-26 03,17.59,15.95,18.2,84,1013,2.27,297,0.0,0,2
2019-03-26 04,15.75,15.78,16.37,87,1013,2.1,240,0.0,20,0
2019-03-26 05,15.92,16.0,18.0,79,1013,2.79,309,0.0,0,2
2019-03-26 06,15.76,16.0,17.73,77,1014,2.47,318,0.0,1,2
2019-03-26 07,16.33,16.0,19.6,77,1014,2.96,321,0.0,1,2
2019-03-26 08,19.73,18.59,20.0,68,1014,1.0,270,0.0,1,0
2019-03-26 09,19.86,18.8,23.0,60,1015,4.1,270,0.0,1,0
2019-03-26 10,23.38,23.0,26.2,57,1015,4.1,300,0.0,1,0
2019-03-26 11,25.99,26.2,27.58,51,1015,4.1,290,0.0,1,0
2019-03-26 12,25.69,26.2,28.89,45,1011,5.1,250,0.0,1,0
2019-03-26 13,25.11,28.0,30.04,39,1010,6.7,340,0.0,1,0
2019-03-26 14,26.31,28.8,30.46,39,1009,6.2,270,0.0,1,0
2019-03-26 15,26.24,28.72,30.0,37,1009,6.2,270,0.0,1,0
2019-03-26 16,27.62,28.85,30.0,37,1009,4.1,260,0.0,1,0
2019-03-26 17,27.76,28.3,29.58,37,1009,3.1,320,0.0,1,0
2019-03-26 18,26.79,26.6,28.29,44,1013,2.1,280,0.0,1,0
2019-03-26 19,25.69,24.8,27.0,44,1013,2.1,280,0.0,1,0
2019-03-26 20,25.65,22.21,25.0,64,1014,1.0,270,0.0,0,0
2019-03-26 21,25.31,21.3,25.0,64,1014,1.0,270,0.0,0,0
2019-03-26 22,23.83,19.39,24.0,77,1014,1.0,320,0.0,0,2
2019-03-26 23,22.95,18.83,23.0,77,1015,1.0,320,0.0,0,2
2019-03-27 00,22.87,18.71,23.0,77,1015,1.0,320,0.0,0,2
2019-03-27 01,20.38,17.45,22.0,84,1014,2.72,327,0.0,12,2
2019-03-27 02,20.37,16.91,22.0,84,1014,2.57,327,0.0,2,2
2019-03-27 03,18.65,15.7,20.0,84,1014,2.47,331,0.0,0,2
2019-03-27 04,18.8,15.74,19.0,89,1013,1.0,250,0.0,0,2
2019-03-27 05,17.18,16.0,17.56,89,1014,1.0,250,0.0,0,2
2019-03-27 06,17.35,16.0,17.9,89,1015,1.0,250,0.0,9,2
2019-03-27 07,19.43,19.0,20.8,68,1015,2.1,250,0.0,40,0
2019-03-27 08,20.25,19.2,21.58,64,1016,2.6,250,0.0,40,0
2019-03-27 09,21.71,19.2,25.0,50,1016,3.6,240,0.0,40,0
2019-03-27 10,24.93,26.48,27.59,47,1016,5.1,240,0.0,40,0
2019-03-27 11,26.93,28.0,29.79,45,1012,5.1,270,0.0,40,0
2019-03-27 12,27.67,28.89,30.13,40,1011,5.1,270,0.0,40,0
2019-03-27 13,28.69,29.4,31.8,35,1014,4.1,260,0.0,40,0
2019-03-27 14,28.21,29.4,32.05,35,1010,5.1,270,0.0,40,0
2019-03-27 15,28.46,29.4,31.06,33,1009,4.1,330,0.0,40,0
2019-03-27 16,28.17,29.4,31.0,33,1009,4.1,330,0.0,40,0
2019-03-27 17,27.59,29.0,30.28,38,1009,4.1,320,0.0,20,0
2019-03-27 18,28.96,27.0,29.7,45,1009,1.5,290,0.0,40,0
2019-03-27 19,28.39,25.63,29.44,45,1009,1.5,290,0.0,40,0
2019-03-27 20,24.66,23.0,26.0,66,1014,2.74,359,0.0,20,0
2019-03-27 21,24.08,22.46,25.0,66,1014,2.71,5,0.0,20,0
2019-03-27 22,23.29,19.98,24.0,83,1014,2.78,6,0.0,20,2
2019-03-27 23,21.81,19.92,22.0,83,1014,2.8,1,0.0,20,2
2019-03-28 00,21.98,20.0,22.0,83,1014,2.69,349,0.0,20,2
2019-03-28 01,21.02,18.4,21.0,89,1013,2.49,338,0.0,15,2
2019-03-28 02,20.28,18.4,20.0,89,1013,2.41,327,0.0,1,2
2019-03-28 03,19.73,17.56,20.0,89,1013,2.44,330,0.0,3,2
2019-03-28 04,19.16,17.33,19.0,91,1013,1.86,294,0.0,20,2
2019-03-28 05,18.63,19.0,19.42,63,1013,1.49,255,0.0,1,0
2019-03-28 06,19.69,17.0,19.55,88,1013,1.69,247,0.0,20,2
2019-03-28 07,20.37,18.8,22.8,77,1013,2.44,243,0.0,40,2
